36000;0.706491
36000;0.747999
36000;0.704210
36000;0.719576
36000;0.742637
39600;0.866958
39600;0.862212
39600;0.857968
39600;0.866895
39600;0.864239
43200;1.082877
43200;1.075138
43200;1.035545
43200;1.036420
43200;1.055511
46800;1.264553
46800;1.242829
46800;1.243047
46800;1.300304
46800;1.358060
50400;1.524614
50400;1.483857
50400;1.489903
50400;1.502539
50400;1.513915
54000;1.673680
54000;1.670039
54000;1.706432
54000;1.615667
54000;1.628179
57600;1.851332
57600;1.855403
57600;1.878360
57600;1.948427
57600;1.931420
61200;2.048796
61200;2.160798
61200;2.112059
61200;2.072965
61200;2.222147
64800;2.348135
64800;2.288820
64800;2.329495
64800;2.315215
64800;2.321998
68400;2.611964
68400;2.638995
68400;2.585736
68400;2.650625
68400;2.667369
72000;2.893807
72000;2.940533
72000;2.922419
72000;2.840374
72000;2.840917
